entity_type,name,location,country,website,contact,source,discovered_at,status,mega_row_index,qa_checked_at,qa_http_status,qa_final_url,qa_source_live,qa_status,qa_error
agency,МИЭЛЬ,Москва,Russia,https://miel.ru,,https://miel.ru,2026-09-15T19:14:11Z,discovered,1,2026-09-16T05:29:52Z,000,https://miel.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,ИНКОМ-Недвижимость,Москва,Russia,https://www.incom.ru,+7 495 363-10-10,https://www.incom.ru,2026-09-15T19:14:11Z,discovered,2,2026-09-16T05:29:52Z,000,https://www.incom.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,БЕСТ-Недвижимость,Москва,Russia,https://www.best-realty.ru,,https://www.best-realty.ru,2026-09-15T19:14:11Z,discovered,3,2026-09-16T05:29:52Z,000,https://www.best-realty.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,Метриум,Москва,Russia,https://www.metrium.ru,,https://www.metrium.ru,2026-09-15T19:14:11Z,discovered,4,2026-09-16T05:29:52Z,000,https://www.metrium.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,Бон Тон,Москва,Russia,https://www.bonton.ru,,https://www.bonton.ru,2026-09-15T19:14:11Z,discovered,5,2026-09-16T05:29:52Z,000,https://www.bonton.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3005 milliseconds
agency,НДВ,Москва,Russia,https://www.ndv.ru,,https://www.ndv.ru,2026-09-15T19:14:11Z,discovered,6,2026-09-16T05:29:52Z,000,https://www.ndv.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,Азбука Жилья,Москва,Russia,https://azbuka.ru,,https://azbuka.ru,2026-09-15T19:14:11Z,discovered,7,2026-09-16T05:29:52Z,000,https://azbuka.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,Intermark Real Estate,Москва,Russia,https://intermark.ru,,https://intermark.ru,2026-09-15T19:14:11Z,discovered,8,2026-09-16T05:29:52Z,000,https://intermark.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3005 milliseconds
agency,Kalinka Realty,Москва,Russia,https://kalinka-realty.ru,,https://kalinka-realty.ru,2026-09-15T19:14:11Z,discovered,9,2026-09-16T05:29:52Z,000,https://kalinka-realty.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,Whitewill,Москва,Russia,https://whitewill.ru,,https://whitewill.ru,2026-09-15T19:14:11Z,discovered,10,2026-09-16T05:29:52Z,000,https://whitewill.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,Point Estate,Москва,Russia,https://pointestate.ru,,https://pointestate.ru,2026-09-15T19:14:11Z,discovered,11,2026-09-16T05:29:52Z,000,https://pointestate.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3003 milliseconds
agency,Tranio,Москва,Russia,https://tranio.ru,,https://tranio.ru,2026-09-15T19:14:11Z,discovered,12,2026-09-16T05:29:52Z,000,https://tranio.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3004 milliseconds
agency,Этажи,Санкт-Петербург,Russia,https://spb.etagi.com,,https://spb.etagi.com,2026-09-15T19:14:11Z,discovered,13,2026-09-16T05:29:52Z,000,https://spb.etagi.com/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,Адвекс,Санкт-Петербург,Russia,https://www.advecs.com,,https://www.advecs.com,2026-09-15T19:14:11Z,discovered,14,2026-09-16T05:29:52Z,000,https://www.advecs.com/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,Петербургская Недвижимость,Санкт-Петербург,Russia,https://www.pn.ru,,https://www.pn.ru,2026-09-15T19:14:11Z,discovered,15,2026-09-16T05:29:52Z,000,https://www.pn.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,Бекар,Санкт-Петербург,Russia,https://bekar.ru,,https://bekar.ru,2026-09-15T19:14:11Z,discovered,16,2026-09-16T05:29:52Z,000,https://bekar.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3001 milliseconds
agency,Александр Недвижимость,Санкт-Петербург,Russia,https://www.an-3.ru,,https://www.an-3.ru,2026-09-15T19:14:11Z,discovered,17,2026-09-16T05:29:52Z,000,https://www.an-3.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3004 milliseconds
agency,Новосёл,Екатеринбург,Russia,https://novosel.ru,,https://novosel.ru,2026-09-15T19:14:11Z,discovered,18,2026-09-16T05:29:52Z,000,https://novosel.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,ЖИЛФОНД,Новосибирск,Russia,https://jilfond.ru,,https://jilfond.ru,2026-09-15T19:14:11Z,discovered,19,2026-09-16T05:29:52Z,000,https://jilfond.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3001 milliseconds
agency,Перспектива24,Казань,Russia,https://perspektiva24.com,,https://perspektiva24.com,2026-09-15T19:14:11Z,discovered,20,2026-09-16T05:29:52Z,000,https://perspektiva24.com/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,ФЛЭТ,Казань,Russia,https://flatestate.ru,,https://flatestate.ru,2026-09-15T19:14:11Z,discovered,21,2026-09-16T05:29:52Z,000,https://flatestate.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,АЯКС,Краснодар,Russia,https://аякс-рф.рф,,https://аякс-рф.рф,2026-09-15T19:14:11Z,discovered,22,2026-09-16T05:29:52Z,000,https://аякс-рф.рф/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,Лендлорд,Ростов-на-Дону,Russia,https://landlord.ru,,https://landlord.ru,2026-09-15T19:14:11Z,discovered,23,2026-09-16T05:29:52Z,000,https://landlord.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,Самолет Плюс,Москва,Russia,https://samoletplus.ru,,https://samoletplus.ru,2026-09-15T19:14:11Z,discovered,24,2026-09-16T05:29:52Z,000,https://samoletplus.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
agency,РКС-Недвижимость,Сочи,Russia,https://rks-realty.ru,,https://rks-realty.ru,2026-09-15T19:14:11Z,discovered,25,2026-09-16T05:29:52Z,000,https://rks-realty.ru/,false,needs_manual,curl_curl: (28) Connection timed out after 3002 milliseconds
